country,location,name,code
Algeria,Adrar,Touat-Cheikh Sidi Mohamed Belkebir Airport,AZR
Algeria,Algiers,Houari Boumedienne Airport,ALG
Algeria,Annaba,Rabah Bitat Airport,AAE
Algeria,Batna,Batna Airport,BLJ
Algeria,Bejaia,Soummam Airport,BJA
Algeria,Oumache,Biskra Airport,BSK
Algeria,Chlef,Chlef International Airport,CFK
Algeria,Constantine,Mohamed Boudiaf Airport,CZL
Algeria,Hassi Messaoud,Oued Irara Airport,HME
Algeria,Jijel,Jijel Ferhat Abbas Airport,GJL
Algeria,Oran,Oran Es Senia Airport,ORN
Algeria,Sétif,Ain Arnat Airport,QSF
Algeria,Tamanrasset,Tamanrasset Airport,TMR
Algeria,Tlemcen,Zenata Airport,TLM
Angola,Luanda,Quatro de Fevereiro Airport,LAD
Angola,Lubango,Lubango Airport,SDD
Benin,Cotonou,Cadjehoun Airport,COO
Botswana,Gaborone,Sir Seretse Khama International Airport,GBE
Botswana,Maun,Maun Airport,MUB
Botswana,Francistown,Francistown Airport,FRW
Botswana,Kasane,Kasane Airport,BBK
Burkina Faso,Bobo-Dioulasso,Bobo Dioulasso Airport,BOY
Burkina Faso,Ouagadougou,Ouagadougou Airport,OUA
Burundi,Bujumbura,Bujumbura International Airport,BJM
Cameroon,Douala,Douala Airport,DLA
Cameroon,Yaoundé,Nsimalen Airport,NSI
Cape Verde,Boa Vista Island,Aristides Pereira International Airport,BVC
Cape Verde,Sal Island,Amílcar Cabral International Airport,SID
Cape Verde,"Praia, Santiago Island",Nelson Mandela International Airport,RAI
Cape Verde,Sao Vicente Island,Cesária Évora Airport,VXE
Central African Republic,Bangui,M'Poko International Airport,BGF
Chad,N'Djamena,N'Djamena International Airport,NDJ
Comoros,"Moroni, Comoros",Prince Said Ibrahim International Airport,HAH
Côte d'Ivoire,Abidjan,Port Bouet Airport,ABJ
Democratic Republic of the Congo,Goma,Goma International Airport,GOM
Democratic Republic of the Congo,Kinshasa,N'djili Airport,FIH
Democratic Republic of the Congo,Kisangani,Bangoka International Airport,FKI
Democratic Republic of the Congo,Lubumbashi,Lubumbashi International Airport,FBM
