Code;Latitude;Longitude
AAE;36.8222;7.8092
AAL;57.0928;9.8492
AAN;24.2617;55.6092
AAQ;45.0021;37.3473
AAR;56.3;10.619
ABA;53.74;91.385
ABJ;5.2614;-3.9263
ABV;9.0068;7.2632
ABZ;57.2019;-2.1978
ACA;16.7571;-99.754
ACC;5.6052;-0.1668
ACE;28.9455;-13.6052
ACI;49.7061;-2.2147
ADA;36.9822;35.2804
ADB;38.2924;27.157
ADD;8.9779;38.7993
ADE;12.8295;45.0288
ADL;-34.945;138.531
ADZ;12.5836;-81.7112
AEP;-34.5592;-58.4156
AER;43.4499;39.9566
AES;62.5625;6.1197
AEY;65.66;-18.0727
AGA;30.325;-9.4131
AGP;36.6749;-4.4991
AGU;21.7056;-102.318
AHO;40.6321;8.2908
AJA;41.9236;8.8029
AKL;-37.0081;174.792
ALA;43.3521;77.0405
ALC;38.2822;-0.5582
ALG;36.691;3.2154
AMD;23.0772;72.6347
AMM;31.7226;35.9932
AMS;52.3086;4.7639
ANC;61.1744;-149.996
ANF;-23.4445;-70.4451
ANR;51.1894;4.4603
ANU;17.1367;-61.7927
AOI;43.6163;13.3623
AOJ;40.7347;140.691
AOK;35.4214;27.146
APL;-15.1056;39.2818
APW;-13.83;-172.008
AQJ;29.6116;35.0181
AQP;-16.3411;-71.5831
ARH;64.6003;40.7167
ARN;59.6519;17.9186
ASB;37.9868;58.361
ASF;46.2833;48.0063
ASM;15.2919;38.9107
ASR;38.7704;35.4954
ASU;-25.24;-57.52
ATH;37.9364;23.9445
ATL;33.6367;-84.4281
ATQ;31.7096;74.7973
ATZ;27.0465;31.012
AUA;12.5014;-70.0152
AUH;24.433;54.6511
AUS;30.1945;-97.6699
AXA;18.2048;-63.0551
AXM;4.4528;-75.7664
AYT;36.8987;30.8005
AZA;33.3078;-111.655
AZS;19.267;-69.742
BAH;26.2708;50.6336
BAQ;10.8896;-74.7808
BAX;53.3638;83.5385
BBI;20.2444;85.8178
BBK;-17.8329;25.1624
BCM;46.5219;26.9103
BCN;41.2971;2.0785
BDA;32.364;-64.6787
BDL;41.9389;-72.6832
BDO;-6.9006;107.576
