from,to,active,date
HEA,MHD,0,2020-04-06
HEA,DEL,0,2020-04-06
JAA,FRU,0,2020-04-06
KBL,IST,0,2020-04-06
KBL,DEL,0,2020-04-06
KBL,JED,0,2020-04-06
KBL,KWI,0,2020-04-06
KBL,SAW,0,2020-04-06
KBL,TAS,0,2020-04-06
KBL,ISB,1,2020-04-06
KBL,DYU,0,2020-04-06
KBL,URC,0,2020-04-06
KBL,ESB,0,2020-04-06
KBL,DXB,0,2020-04-06
KBL,SHJ,0,2020-04-06
KDH,MHD,0,2020-04-06
KDH,DXB,0,2020-04-06
KDH,DEL,0,2020-04-06
KDH,JED,0,2020-04-06
MZR,IST,0,2020-04-06
MZR,SVO,0,2020-04-06
MZR,DEL,0,2020-04-06
TIA,IST,1,2020-04-17
TIA,SAW,1,2020-04-17
TIA,BEG,1,2020-04-18
TIA,ZRH,1,2020-04-20
TIA,KBP,0,
TIA,HEL,0,
TIA,BGY,0,
TIA,BUD,0,
TIA,PSA,0,
TIA,BRU,0,
TIA,VCE,0,
TIA,RMI,0,
TIA,DUS,0,
TIA,AMS,0,
TIA,FRA,0,
TIA,TRN,0,
TIA,ORY,0,
TIA,CGN,0,
TIA,TSF,0,
TIA,BLQ,0,
TIA,PRN,0,
TIA,WAW,0,
TIA,PEG,0,
TIA,VRN,0,
TIA,AOI,0,
TIA,MXP,0,
TIA,OSL,0,
TIA,LGW,0,
TIA,PRG,0,
TIA,RUH,0,
TIA,GOA,0,
TIA,FCO,0,
TIA,STR,0,
TIA,FLR,0,
TIA,FMM,0,
TIA,LTN,0,
TIA,GVA,0,
TIA,BRI,0,
TIA,CPH,0,
TIA,DTM,0,
TIA,HER,0,
TIA,VIE,0,
TIA,STN,0,
TIA,ATH,0,
AAE,IST,0,2020-04-06
AAE,CDG,0,2020-04-06
AAE,MRS,0,2020-04-06
AAE,ORY,0,2020-04-06
AAE,LYS,0,2020-04-06
ALG,AMM,1,2020-04-14
ALG,DOH,0,
ALG,LHR,0,
ALG,SXB,0,
ALG,MIR,0,
ALG,DSS,0,
ALG,NTE,0,
ALG,MRS,0,
ALG,BUD,0,
ALG,BKO,0,
ALG,CMN,0,
ALG,BRU,0,
ALG,NCE,0,
ALG,LIS,0,
ALG,PEK,0,
ALG,SVO,0,
ALG,ALC,0,
ALG,MAD,0,
ALG,BOD,0,
ALG,MLH,0,
ALG,FRA,0,
ALG,TUN,0,
ALG,VLC,0,
ALG,ETZ,0,
ALG,ORY,0,
ALG,CAI,0,
ALG,NIM,0,
ALG,OUA,0,
ALG,BEY,0,
