from,to,active,date,country_from,city_from,country_to,city_to,cum_case
ALG,DXB,0,,Algeria,Algier,United Arab Emirates,Dubai,2629.0
ALG,MXP,0,,Algeria,Algier,Italy,Milano,2629.0
ALG,BCN,0,,Algeria,Algier,Spain,Barcelona,2629.0
ALG,YUL,0,,Algeria,Algier,Canada,Montreal,2629.0
ALG,DOH,0,,Algeria,Algier,Qatar,Doha,2629.0
ALG,ORY,0,,Algeria,Algier,France,Paris,2629.0
ALG,PEK,0,,Algeria,Algier,China,Beijing,2629.0
ALG,LIL,0,,Algeria,Algier,France,Lille,2629.0
ALG,OUA,0,,Algeria,Algier,Burkina Faso,Ouagadougou,2629.0
ALG,NKC,0,,Algeria,Algier,Mauritania,Nouakchott,2629.0
ALG,MZW,0,,Algeria,Algier,Taiwan,Matsu,2629.0
ALG,CDG,0,,Algeria,Algier,France,Paris,2629.0
ALG,BKO,0,,Algeria,Algier,Mali,Bamako,2629.0
ALG,MRS,0,,Algeria,Algier,France,Marseille,2629.0
ALG,MPL,0,,Algeria,Algier,France,Montpellier,2629.0
ALG,DSS,0,,Algeria,Algier,Senegal,Dakar,2629.0
ALG,LYS,0,,Algeria,Algier,France,Lyon,2629.0
ALG,MED,0,,Algeria,Algier,Saudi Arabia,Medina,2629.0
ALG,NCE,0,,Algeria,Algier,France,Nice,2629.0
ALG,SVO,0,,Algeria,Algier,Russia,Moscow,2629.0
ALG,BRU,0,,Algeria,Algier,Belgium,Brussels,2629.0
ALG,TUN,0,,Algeria,Algier,Tunisia,Tunis,2629.0
ALG,FCO,0,,Algeria,Algier,Italy,Rome,2629.0
ALG,BEY,0,,Algeria,Algier,Lebanon,Beirut,2629.0
ALG,CRL,0,,Algeria,Algier,Belgium,Brussels,2629.0
ALG,NTE,0,,Algeria,Algier,France,Nantes,2629.0
ALG,VLC,0,,Algeria,Algier,Spain,Valencia,2629.0
ALG,PMI,0,,Algeria,Algier,Spain,Palma,2629.0
ALG,LGW,0,,Algeria,Algier,United Kingdom,London,2629.0
ALG,MLH,0,,Algeria,Algier,France,Mulhouse,2629.0
ALG,SXB,0,,Algeria,Algier,France,Strassbourg,2629.0
ALG,CMN,0,,Algeria,Algier,Morocco,Casablanca,2629.0
ALG,IST,0,,Algeria,Algier,Turkey,Istanbul,2629.0
ALG,FRA,0,,Algeria,Algier,Germany,Frankfurt,2629.0
ALG,VIE,0,,Algeria,Algier,Austria,Vienna,2629.0
ALG,ALC,0,,Algeria,Algier,Spain,Alicante,2629.0
ALG,TLS,0,,Algeria,Algier,France,Toulouse,2629.0
ALG,BOD,0,,Algeria,Algier,France,Bordeaux,2629.0
ALG,AYT,0,,Algeria,Algier,Turkey,Antalya,2629.0
ALG,MAD,0,,Algeria,Algier,Spain,Madrid,2629.0
ALG,BUD,0,,Algeria,Algier,Hungary,Budapest,2629.0
ALG,ABJ,0,,Algeria,Algier,Cote d'Ivoire,Abidjan,2629.0
ALG,GVA,0,,Algeria,Algier,Switzerland,Geneva,2629.0
ALG,LHR,0,,Algeria,Algier,United Kingdom,London,2629.0
ALG,NIM,0,,Algeria,Algier,Niger,Niamey,2629.0
ALG,AMM,0,,Algeria,Algier,Jordan,Amman,2629.0
ALG,ETZ,0,,Algeria,Algier,France,Metz,2629.0
ALG,CAI,0,,Algeria,Algier,Egypt,Cairo,2629.0
ALG,MIR,0,,Algeria,Algier,Tunisia,Monastir,2629.0
ALG,LIS,0,,Algeria,Algier,Portugal,Lisbon,2629.0
AAE,LYS,0,2020-04-20,Algeria,Annaba,France,Lyon,2629.0
AAE,ORY,0,2020-04-20,Algeria,Annaba,France,Paris,2629.0
AAE,CDG,0,2020-04-20,Algeria,Annaba,France,Paris,2629.0
AAE,IST,0,2020-04-20,Algeria,Annaba,Turkey,Istanbul,2629.0
AAE,MRS,0,2020-04-20,Algeria,Annaba,France,Marseille,2629.0
BLJ,LYS,0,2020-04-20,Algeria,Batna,France,Lyon,2629.0
BLJ,CDG,0,2020-04-20,Algeria,Batna,France,Paris,2629.0
BLJ,ORY,0,2020-04-20,Algeria,Batna,France,Paris,2629.0
BLJ,MRS,0,2020-04-20,Algeria,Batna,France,Marseille,2629.0
BJA,CRL,0,2020-04-20,Algeria,Bejaia,Belgium,Brussels,2629.0
BJA,LYS,0,2020-04-20,Algeria,Bejaia,France,Lyon,2629.0
BJA,ORY,0,2020-04-20,Algeria,Bejaia,France,Paris,2629.0
BJA,LIL,0,2020-04-20,Algeria,Bejaia,France,Lille,2629.0
