from,to,active,date
ATL,YYZ,1,2020-04-07
ATL,PTY,1,2020-04-07
ATL,CUN,1,2020-04-12
ATL,LHR,1,2020-04-15
ATL,YVR,0,
ATL,MBJ,0,
ATL,ELH,0,
ATL,PUJ,0,
ATL,SCL,0,
ATL,ICN,0,
ATL,GIG,0,
ATL,IST,0,
ATL,LOS,0,
ATL,SJD,0,
ATL,STT,0,
ATL,MGA,0,
ATL,GRU,0,
ATL,SDQ,0,
ATL,ANU,0,
ATL,ZRH,0,
ATL,MTY,0,
ATL,HND,0,
ATL,DUS,0,
ATL,SAP,0,
ATL,CDG,0,
ATL,DOH,0,
ATL,MAD,0,
ATL,LIR,0,
ATL,GND,0,
ATL,SAL,0,
ATL,SJO,0,
ATL,SKB,0,
ATL,MEX,0,
ATL,TGU,0,
ATL,YUL,0,
ATL,BRU,0,
ATL,GDL,0,
ATL,GCM,0,
ATL,SXM,0,
ATL,BON,0,
ATL,YYC,0,
ATL,HAV,0,
ATL,BOG,0,
ATL,VCE,0,
ATL,AUA,0,
ATL,DUB,0,
ATL,STR,0,
ATL,BCN,0,
ATL,RTB,0,
ATL,BDA,0,
ATL,NAS,0,
ATL,EZE,0,
ATL,AMS,0,
ATL,JNB,0,
ATL,UVF,0,
ATL,BZE,0,
ATL,CZM,0,
ATL,LIM,0,
ATL,MUC,0,
ATL,PVG,0,
ATL,UIO,0,
ATL,MAN,0,
ATL,KIN,0,
ATL,MXP,0,
ATL,PVR,0,
ATL,GGT,0,
ATL,GUA,0,
ATL,PLS,0,
ATL,NRT,0,
ATL,FCO,0,
ATL,CTG,0,
ATL,FRA,0,
BDL,CUN,0,2020-04-06
BDL,YUL,0,2020-04-06
BDL,YYZ,0,2020-04-06
BDL,DUB,0,2020-04-06
BET,KKH,0,2020-04-06
BNA,LHR,0,2020-04-06
BNA,YYZ,0,2020-04-06
BNA,YYC,0,2020-04-06
BNA,CUN,0,2020-04-06
BNA,SJD,0,2020-04-06
BNA,YUL,0,2020-04-06
BOS,LHR,1,2020-04-07
BOS,LGW,1,2020-04-07
BOS,YYZ,1,2020-04-07
BOS,YTZ,1,2020-04-07
BOS,KEF,1,2020-04-07
BOS,DUB,1,2020-04-10
BOS,YVR,0,
BOS,CMN,0,
BOS,MBJ,0,
BOS,SNN,0,
BOS,STI,0,
BOS,PUJ,0,
BOS,TLV,0,
