date,country,lat,long,cum_case,new_case,cum_death,new_death,cum_cured,new_cured,continent,index
2020-01-22,China,743.8627,2723.0645999999997,548,548.0,17.0,17.0,28.0,28.0,Asia,1
2020-01-22,Japan,36.0,138.0,2,2.0,0.0,0.0,0.0,0.0,Asia,17
2020-01-22,South Korea,36.0,128.0,1,1.0,0.0,0.0,0.0,0.0,Asia,8
2020-01-22,Taiwan,23.7,121.0,1,1.0,0.0,0.0,0.0,0.0,Asia,60
2020-01-22,Thailand,15.0,101.0,2,2.0,0.0,0.0,0.0,0.0,Asia,40
2020-01-22,United States,47.6062,-122.3321,1,1.0,0.0,0.0,0.0,0.0,America,6
2020-01-23,China,971.8052999999999,3386.3869,643,95.0,18.0,1.0,30.0,2.0,Asia,1
2020-01-23,Japan,36.0,138.0,1,-1.0,0.0,0.0,0.0,0.0,Asia,17
2020-01-23,South Korea,36.0,128.0,1,0.0,0.0,0.0,0.0,0.0,Asia,8
2020-01-23,Singapore,1.2833,103.8333,1,1.0,0.0,0.0,0.0,0.0,Asia,32
2020-01-23,Taiwan,23.7,121.0,1,0.0,0.0,0.0,0.0,0.0,Asia,60
2020-01-23,Thailand,15.0,101.0,3,1.0,0.0,0.0,0.0,0.0,Asia,40
2020-01-23,United States,47.6062,-122.3321,1,0.0,0.0,0.0,0.0,0.0,America,6
2020-01-23,Vietnam,16.0,108.0,2,2.0,0.0,0.0,0.0,0.0,Asia,68
2020-01-24,China,1015.8987999999998,3500.3317,920,277.0,26.0,8.0,36.0,6.0,Asia,1
2020-01-24,France,46.2276,2.2137,2,2.0,0.0,0.0,0.0,0.0,Europe,7
2020-01-24,Japan,36.0,138.0,2,1.0,0.0,0.0,0.0,0.0,Asia,17
2020-01-24,South Korea,36.0,128.0,2,1.0,0.0,0.0,0.0,0.0,Asia,8
2020-01-24,Singapore,1.2833,103.8333,3,2.0,0.0,0.0,0.0,0.0,Asia,32
2020-01-24,Taiwan,23.7,121.0,3,2.0,0.0,0.0,0.0,0.0,Asia,60
2020-01-24,Thailand,15.0,101.0,5,2.0,0.0,0.0,0.0,0.0,Asia,40
2020-01-24,United States,89.34389999999999,-210.0297,2,1.0,0.0,0.0,0.0,0.0,America,6
2020-01-24,Vietnam,16.0,108.0,2,0.0,0.0,0.0,0.0,0.0,Asia,68
2020-01-25,China,1051.6439999999998,3596.3273000000004,1406,486.0,42.0,16.0,39.0,3.0,Asia,1
2020-01-25,France,46.2276,2.2137,3,1.0,0.0,0.0,0.0,0.0,Europe,7
2020-01-25,Japan,36.0,138.0,2,0.0,0.0,0.0,0.0,0.0,Asia,17
2020-01-25,South Korea,36.0,128.0,2,0.0,0.0,0.0,0.0,0.0,Asia,8
2020-01-25,Malaysia,2.5,112.5,3,3.0,0.0,0.0,0.0,0.0,Asia,18
2020-01-25,Nepal,28.1667,84.25,1,1.0,0.0,0.0,0.0,0.0,Asia,140
2020-01-25,Singapore,1.2833,103.8333,3,0.0,0.0,0.0,0.0,0.0,Asia,32
2020-01-25,Taiwan,23.7,121.0,3,0.0,0.0,0.0,0.0,0.0,Asia,60
