country,lat,long,cum_case,new_case,cum_death,new_death,cum_cured,new_cured,population,case_ratio,death_ratio
Afghanistan,2838.0,5590.0,115615,7653.0,3211.0,178.0,13641.0,850.0,38928346.0,0.00019659196411786928,4.572503542791158e-06
Albania,2963.037599999997,1452.1176000000019,34319,949.0,1408.0,31.0,20212.0,742.0,2877797.0,0.00032976613708333145,1.0772128819371207e-05
Algeria,2382.881499999996,141.06599999999995,183263,7377.0,19089.0,561.0,76184.0,3746.0,43851044.0,0.00016822860591414883,1.279331000648468e-05
Andorra,3357.9977000000003,120.22219999999993,36237,761.0,1862.0,51.0,16176.0,628.0,77265.0,0.009849220216139262,0.0006600660066006601
Angola,-683.3647000000005,1090.3079000000014,1452,52.0,106.0,3.0,383.0,17.0,32866272.0,1.5821691002861536e-06,9.12789865549704e-08
Antigua and Barbuda,1160.1343999999985,-4202.155200000005,1153,25.0,119.0,3.0,458.0,19.0,97929.0,0.0002552869936382481,3.063443923658977e-05
Argentina,-2996.455799999996,-4962.1025999999965,203394,8809.0,9507.0,393.0,57061.0,2872.0,45195774.0,0.00019490760352948043,8.695503256565536e-06
Armenia,3205.5280000000034,3603.0559999999978,104897,5041.0,1415.0,64.0,39081.0,2164.0,2963243.0,0.001701176717535484,2.15979587229262e-05
Australia,-24373.47510000007,106949.0600999995,356318,7072.0,3852.0,100.0,210901.0,6431.0,25499884.0,0.00027733459493384363,3.921586466824712e-06
Austria,4038.8770000000018,1236.7585000000001,803974,16321.0,23982.0,632.0,509655.0,14678.0,9006398.0,0.001812156202734989,7.017233748719522e-05
Azerbaijan,3211.4479999999935,3806.1520000000014,85772,3518.0,1067.0,41.0,48490.0,2198.0,10139177.0,0.0003469709622388484,4.043720708298119e-06
Bahamas,1627.2295000000015,-5030.7595,3412,96.0,444.0,11.0,940.0,43.0,393244.0,0.0002441232415497757,2.7972454760911802e-05
Bahrain,2238.3649999999984,4347.300000000007,153773,7532.0,408.0,12.0,67453.0,2952.0,1701575.0,0.0044264872250708905,7.052289790341302e-06
Bangladesh,1729.0049999999972,6596.009900000008,365444,25121.0,6822.0,370.0,51415.0,4993.0,164689383.0,0.00015253563734585126,2.2466536291534958e-06
Barbados,844.4095999999993,-3810.7648000000027,3925,90.0,255.0,7.0,1598.0,68.0,287375.0,0.00031317964332318397,2.435841670291431e-05
Belarus,4404.203600000003,2292.1788000000024,588830,31508.0,3678.0,175.0,140865.0,10620.0,9449323.0,0.0033344187726464638,1.851984528415422e-05
Belgium,5388.329799999998,424.0,2083528,55791.0,297991.0,9108.0,481422.0,14687.0,11589623.0,0.004813875308972518,0.0007858754335667346
Belize,765.2461999999994,-3453.5056000000022,771,18.0,84.0,2.0,354.0,16.0,397628.0,4.526844186023117e-05,5.029826873359019e-06
Benin,605.0005,150.5269999999999,5587,130.0,63.0,2.0,1721.0,83.0,12123200.0,1.07232413884123e-05,1.6497294443711232e-07
Bhutan,2063.565000000002,6782.520000000006,443,21.0,0.0,0.0,168.0,5.0,771608.0,2.7215892007340516e-05,0.0
Bolivia,-1140.3140000000005,-4451.208999999995,67035,4481.0,3215.0,189.0,6686.0,533.0,11673021.0,0.00038387663313550107,1.6191181357422384e-05
Bosnia and Herzegovina,3337.6083999999983,1343.6115999999997,75990,2321.0,3310.0,134.0,30253.0,1522.0,3280819.0,0.0007074453055776621,4.084346012382884e-05
Botswana,-1138.7534999999998,1258.929899999999,893,25.0,50.0,1.0,248.0,17.0,2351627.0,1.0630937644447865e-05,4.252375057779146e-07
Brazil,-1195.7399999999996,-4361.725199999997,4292124,271885.0,285581.0,17983.0,1683746.0,106794.0,212559417.0,0.0012791011748023377,8.460222677407889e-05
Brunei Darussalam,326.54160000000036,8260.39440000001,8439,141.0,53.0,1.0,5752.0,136.0,437479.0,0.00032230118474258195,2.2858240052665383e-06
Bulgaria,3119.574700000003,1860.4633999999983,66054,2259.0,2908.0,112.0,12150.0,646.0,6948445.0,0.0003251087113735519,1.611871433104817e-05
Burkina Faso,868.9192999999991,-110.87359999999993,31184,796.0,1933.0,51.0,19018.0,652.0,20903273.0,3.808016093938973e-05,2.439809306418186e-06
Myanmar,1183.4747999999993,5181.624000000003,5768,193.0,225.0,6.0,1506.0,104.0,54409800.0,3.547155108087146e-06,1.1027425206488537e-07
Burundi,-168.65499999999983,1495.9449999999986,528,42.0,37.0,1.0,208.0,20.0,11890784.0,3.5321472495001173e-06,8.409874403571708e-08
