date,country,Num,Rank
2020-01-26,China,2075.0,1st
2020-01-26,Thailand,8.0,2nd
2020-01-26,United States,5.0,3rd
2020-01-26,Australia,4.0,4th
2020-01-26,Japan,4.0,5th
2020-02-02,China,14555.0,1st
2020-02-02,Japan,16.0,2nd
2020-02-02,Singapore,14.0,3rd
2020-02-02,South Korea,12.0,4th
2020-02-02,Thailand,11.0,5th
2020-02-09,China,23199.0,1st
2020-02-09,Diamond Princess,64.0,2nd
2020-02-09,Singapore,22.0,3rd
2020-02-09,Thailand,13.0,4th
2020-02-09,United Kingdom,12.0,5th
2020-02-16,China,30684.0,1st
2020-02-16,Diamond Princess,291.0,2nd
2020-02-16,Japan,36.0,3rd
2020-02-16,Singapore,35.0,4th
2020-02-16,Malaysia,6.0,5th
2020-02-23,China,6509.0,1st
2020-02-23,South Korea,573.0,2nd
2020-02-23,Diamond Princess,336.0,3rd
2020-02-23,Italy,152.0,4th
2020-02-23,Japan,89.0,5th
2020-03-01,South Korea,3134.0,1st
2020-03-01,China,2910.0,2nd
2020-03-01,Italy,1539.0,3rd
2020-03-01,Iran,935.0,4th
2020-03-01,France,118.0,5th
2020-03-08,Italy,5681.0,1st
2020-03-08,Iran,5588.0,2nd
2020-03-08,South Korea,3578.0,3rd
2020-03-08,France,1006.0,4th
2020-03-08,Germany,910.0,5th
2020-03-15,Italy,17372.0,1st
2020-03-15,Iran,7372.0,2nd
2020-03-15,Spain,7125.0,3rd
2020-03-15,Germany,4755.0,4th
2020-03-15,France,3396.0,5th
2020-03-22,Italy,34391.0,1st
2020-03-22,United States,30793.0,2nd
2020-03-22,Spain,20970.0,3rd
2020-03-22,Germany,19078.0,4th
2020-03-22,France,11711.0,5th
2020-03-29,United States,107444.0,1st
2020-03-29,Spain,51342.0,2nd
2020-03-29,Italy,38551.0,3rd
2020-03-29,Germany,37222.0,4th
2020-03-29,France,24465.0,5th
2020-04-05,United States,196368.0,1st
2020-04-05,Spain,51536.0,2nd
2020-04-05,Germany,38028.0,3rd
2020-04-05,United Kingdom,31468.0,4th
2020-04-05,Italy,31259.0,5th
2020-04-12,United States,218949.0,1st
2020-04-12,France,50300.0,2nd
2020-04-12,Spain,35185.0,3rd
2020-04-12,United Kingdom,32390.0,4th
2020-04-12,Turkey,29887.0,5th
2020-04-19,United States,199853.0,1st
2020-04-19,United Kingdom,32582.0,2nd
2020-04-19,Spain,31843.0,3rd
2020-04-19,France,31299.0,4th
2020-04-19,Turkey,29350.0,5th
2020-04-26,United States,212143.0,1st
2020-04-26,Russia,38096.0,2nd
2020-04-26,United Kingdom,32532.0,3rd
2020-04-26,Brazil,24446.0,4th
2020-04-26,Turkey,23824.0,5th
2020-05-03,United States,193093.0,1st
2020-05-03,Russia,53738.0,2nd
2020-05-03,Brazil,38726.0,3rd
2020-05-03,United Kingdom,30782.0,4th
2020-05-03,Peru,18411.0,5th
2020-05-10,United States,172473.0,1st
2020-05-10,Russia,75001.0,2nd
2020-05-10,Brazil,60873.0,3rd
2020-05-10,India,24656.0,4th
2020-05-10,United Kingdom,22203.0,5th
2020-05-17,United States,159048.0,1st
2020-05-17,Brazil,78381.0,2nd
2020-05-17,Russia,72064.0,3rd
2020-05-17,India,28537.0,4th
2020-05-17,Peru,24966.0,5th
2020-05-24,United States,158157.0,1st
2020-05-24,Brazil,122131.0,2nd
2020-05-24,Russia,62729.0,3rd
2020-05-24,India,42838.0,4th
2020-05-24,Chile,31627.0,5th
2020-05-31,Brazil,151638.0,1st
2020-05-31,United States,147835.0,2nd
2020-05-31,Russia,61362.0,3rd
2020-05-31,India,52073.0,4th
2020-05-31,Peru,44517.0,5th
2020-06-07,Brazil,176909.0,1st
2020-06-07,United States,145246.0,2nd
2020-06-07,India,66877.0,3rd
2020-06-07,Russia,61230.0,4th
2020-06-07,Chile,43206.0,5th
2020-06-14,Brazil,175866.0,1st
2020-06-14,United States,149996.0,2nd
2020-06-14,India,74938.0,3rd
2020-06-14,Russia,61194.0,4th
2020-06-14,Chile,41816.0,5th
2020-06-21,Brazil,215717.0,1st
2020-06-21,United States,187401.0,2nd
2020-06-21,India,92858.0,3rd
2020-06-21,Russia,55612.0,4th
2020-06-21,Pakistan,36610.0,5th
2020-06-28,United States,268097.0,1st
2020-06-28,Brazil,260802.0,2nd
2020-06-28,India,123036.0,3rd
2020-06-28,Russia,49684.0,4th
2020-06-28,South Africa,40832.0,5th
2020-07-05,United States,341260.0,1st
2020-07-05,Brazil,258912.0,2nd
2020-07-05,India,149095.0,3rd
2020-07-05,South Africa,58616.0,4th
2020-07-05,Russia,46720.0,5th
2020-07-12,United States,413818.0,1st
2020-07-12,Brazil,261626.0,2nd
2020-07-12,India,180841.0,3rd
2020-07-12,South Africa,79492.0,4th
2020-07-12,Russia,45753.0,5th
2020-07-19,United States,468318.0,1st
2020-07-19,India,239952.0,2nd
2020-07-19,Brazil,233708.0,3rd
2020-07-19,South Africa,88086.0,4th
2020-07-19,Colombia,46833.0,5th
2020-07-26,United States,460663.0,1st
2020-07-26,Brazil,320702.0,2nd
2020-07-26,India,317410.0,3rd
2020-07-26,South Africa,81105.0,4th
2020-07-26,Mexico,46292.0,5th
2020-08-02,United States,434032.0,1st
2020-08-02,India,368079.0,2nd
2020-08-02,Brazil,314586.0,3rd
2020-08-02,Colombia,76856.0,4th
2020-08-02,South Africa,66052.0,5th
