date,country,Num,Rank
2020-02-16,China,245.0,1st
2020-02-16,France,1.0,2nd
2020-02-16,Taiwan,1.0,3rd
2020-02-16,Australia,0.0,4th
2020-02-16,Belgium,0.0,5th
2020-02-23,China,679.0,1st
2020-02-23,Iran,8.0,2nd
2020-02-23,South Korea,6.0,3rd
2020-02-23,Diamond Princess,3.0,4th
2020-02-23,Italy,3.0,5th
2020-03-01,China,427.0,1st
2020-03-01,Iran,46.0,2nd
2020-03-01,Italy,31.0,3rd
2020-03-01,South Korea,11.0,4th
2020-03-01,Japan,5.0,5th
2020-03-08,Italy,332.0,1st
2020-03-08,China,228.0,2nd
2020-03-08,Iran,140.0,3rd
2020-03-08,South Korea,33.0,4th
2020-03-08,United States,20.0,5th
2020-03-15,Italy,1443.0,1st
2020-03-15,Iran,530.0,2nd
2020-03-15,Spain,272.0,3rd
2020-03-15,China,103.0,4th
2020-03-15,France,72.0,5th
2020-03-22,Italy,3667.0,1st
2020-03-22,Spain,1483.0,2nd
2020-03-22,Iran,961.0,3rd
2020-03-22,France,585.0,4th
2020-03-22,United States,513.0,5th
2020-03-29,Italy,5303.0,1st
2020-03-29,Spain,5031.0,2nd
2020-03-29,United States,2834.0,3rd
2020-03-29,France,1935.0,4th
2020-03-29,United Kingdom,1386.0,5th
2020-04-05,United States,8955.0,1st
2020-04-05,Spain,5838.0,2nd
2020-04-05,France,5482.0,3rd
2020-04-05,Italy,5108.0,4th
2020-04-05,United Kingdom,4202.0,5th
2020-04-12,United States,13711.0,1st
2020-04-12,United Kingdom,6428.0,2nd
2020-04-12,France,6319.0,3rd
2020-04-12,Spain,4568.0,4th
2020-04-12,Italy,4012.0,5th
2020-04-19,United States,14859.0,1st
2020-04-19,United Kingdom,6225.0,2nd
2020-04-19,France,5308.0,3rd
2020-04-19,Italy,3761.0,4th
2020-04-19,Spain,3244.0,5th
2020-04-26,United States,13936.0,1st
2020-04-26,United Kingdom,5590.0,2nd
2020-04-26,France,3139.0,3rd
2020-04-26,Italy,2984.0,4th
2020-04-26,Spain,2737.0,5th
2020-05-03,United States,11488.0,1st
2020-05-03,United Kingdom,4088.0,2nd
2020-05-03,Brazil,2475.0,3rd
2020-05-03,Italy,2066.0,4th
2020-05-03,Spain,1910.0,5th
